File Name,Flagged,Sample Rate (Hz),Onset (s),Peak Time (s),Peak-Onset Lag (ms),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,True,100000,0.07299,0.07299,0.0,-4090.2534489772793,0.8292614602052518,0.0019558690188257915,14.970060991805237,6985.862871151249,5213.5220756564295,5400.0,9400.0,39177847793.13769,3229528409.3057733,0.08243251202460006,0.06548354310758414,49318168444.244385
scam_0170_0682026146_745_ca0_scam01170_lattes_______________01p01.wav,False,100000,0.07588,0.07627,0.39,-4599.896382945697,0.9534801984270881,0.0017391696103547735,15.869619351014881,6568.300516141921,5265.137567115741,6400.0,8400.0,22922832088.18612,1554612329.97305,0.0678193830497175,0.03758627290023711,41361172843.590004
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,True,100000,0.07477,0.07555,0.78,-6529.750932545231,0.9210863705183047,0.001225161584667316,15.008528238846342,6066.460893419077,4022.2480983817477,4400.0,9100.0,71421828411.35387,6556356631.458427,0.09179765874512628,0.053051882346074844,123583864351.67674
scam_0173_0682295089_319_ca0_scam06173_entrevaux____________01p01.wav,False,100000,0.07769,0.07779,0.1,-19825.694896987563,0.9028732607348656,0.00040351675144640546,21.054896411729413,9102.767832673355,9539.339390598134,1500.0,13900.0,8894108238.391626,1857149488.400706,0.20880671098472547,0.14573133185067022,12743652753.436117
scam_0173_0682295238_325_ca0_scam06173_entrevaux____________02p01.wav,False,100000,0.07779,0.07786,0.06999999999999999,-1009.3393409377577,0.9700376418696736,0.007925976602246925,10.130906610659142,8244.606775166667,8717.142201262312,2800.0,13900.0,16257605794.604988,3261355367.052692,0.20060489891660171,0.14810711548251843,22020247686.463387
scam_0181_0683003019_899_ca0_scam01181_manior_______________01p01.wav,False,100000,0.06937,0.06948,0.11,-1525.0734558784923,0.9337294771001687,0.005245648968030683,11.62382733208916,8280.108132363479,8411.394175933756,4700.0,9900.0,25678262529.866516,3008422383.3686333,0.1171583310930606,0.02715860955274459,110772327188.76834
scam_0181_0683003225_821_ca0_scam01181_manior_______________02p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0181_0683005716_916_ca0_scam02181_grandes_tours_du_lac_01p01.wav,False,100000,0.07188,0.07193,0.05,-5338.194148087405,0.9297355217166059,0.0014986341406983633,14.420304108041584,5552.409086527826,3654.1481376157535,4500.0,7700.0,28861221979.80214,1031770803.7531402,0.03574938041345586,0.030957845488429253,33328249672.244568
scam_0181_0683005884_912_ca0_scam02181_grandes_tours_du_lac_02p01.wav,False,100000,0.07179,0.07184,0.05,-9733.615132049377,0.9413272114515429,0.0008218940128071027,15.704842328759108,5839.047781379488,3623.57363535057,5000.0,7800.0,23843714057.545666,903639444.7976897,0.0378984348921816,0.033406499612050174,27049809327.276386
scam_0182_0683091492_713_ca0_scam01182_lance________________01p01.wav,False,100000,0.07064,0.07103,0.39,-1717.5851760118783,0.980187389378409,0.004657702052701388,7.194371109133872,8620.164009317177,11358.52181197814,4900.0,10400.0,58518651822.08204,5256350832.786701,0.08982351214733923,0.03651895495700096,143934864482.72583
scam_0182_0683091689_749_ca0_scam01182_lance________________02p01.wav,False,100000,0.07063,0.07075,0.12000000000000001,-2909.0091876994097,0.9794693104985693,0.002750077254423112,11.671274017782984,10860.386198392773,12810.437999405207,4600.0,23500.0,34138477345.79815,3548052839.603689,0.10393119774102616,0.0665891532717767,53282744490.27277
scam_0182_0683094296_931_ca0_scam02182_estoublon____________01p01.wav,False,100000,0.06929,0.06939,0.1,-1821.0438343324508,0.965070765214098,0.004393084806183482,11.07319589281678,7582.354458318612,7128.551161406554,4400.0,9100.0,32213193712.21298,2319932829.1048675,0.07201809450595742,0.0579405707038592,40039868453.52812
scam_0182_0683094463_811_ca0_scam02182_estoublon____________02p01.wav,False,100000,0.06924,0.06936,0.12000000000000001,-3848.8724033793046,0.9281823638830381,0.00207853084268941,13.720718493254932,6374.991155644428,5761.19275096187,3500.0,8600.0,58811292846.902725,5467556272.259518,0.09296779593831807,0.0795518972417446,68729426472.94193
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,False,100000,,,,,,,,,,,,,,,,
