File Name,Formation,Member,Onset (s),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power,Recovery Method
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,Maaz,Roubion,0.07527,-8975.706448,0.9467226971,0.0008912947461,-2.557406342,7180.489354,6920.790226,7200,9400,11845522114,1562504652,0.1319067777,0.004089175518,382107504281,Original
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,Maaz,Roubion,0.07274,-1490.92317,0.9460044342,0.005365802989,2.169549696,7388.6743,6361.43404,6600,10300,10093418406,1625618132,0.1610572421,0.02749544267,59123184573,Original
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,Maaz,Roubion,0.07266,-2917.440933,0.8582550339,0.00274212921,15.09112313,6077.016566,4396.750178,3900,8200,25230648474,1829504146,0.0725111821,0.056815246,32200936802,Original
scam_0159_0681062010_914_ca0_scam04159_grand_coyer__________01p01.wav,Maaz,Roubion,0.07301,-1817.525969,0.824604827,0.004401587727,13.46160303,6494.38486,5432.624107,4400,9100,22693082345,2465721066,0.1086551853,0.08182859182,30132756921,
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,Maaz,Roubion,0.07299,-4090.253449,0.8292614602,0.001955869019,14.97006099,6985.862871,5213.522076,5400,9400,39177847793,3229528409,0.08243251202,0.06548354311,49318168444,Original
scam_0170_0682026146_745_ca0_scam01170_lattes_______________01p01.wav,Maaz,Artuby,0.07588,-4599.896383,0.9534801984,0.00173916961,15.86961935,6568.300516,5265.137567,6400,8400,22922832088,1554612330,0.06781938305,0.0375862729,41361172844,
scam_0173_0682295089_319_ca0_scam06173_entrevaux____________01p01.wav,Maaz,Artuby,0.07769,-19825.6949,0.9028732607,0.0004035167514,21.05489641,9102.767833,9539.339391,1500,13900,8894108238,1857149488,0.208806711,0.1457313319,12743652753,
scam_0173_0682295238_325_ca0_scam06173_entrevaux____________02p01.wav,Maaz,Artuby,0.07779,-1009.339341,0.9700376419,0.007925976602,10.13090661,8244.606775,8717.142201,2800,13900,16257605795,3261355367,0.2006048989,0.1481071155,22020247686,
scam_0181_0683003019_899_ca0_scam01181_manior_______________01p01.wav,Maaz,Rochette,0.06937,-1525.073456,0.9337294771,0.005245648968,11.62382733,8280.108132,8411.394176,4700,9900,25678262530,3008422383,0.1171583311,0.02715860955,110772327189,
scam_0181_0683003225_821_ca0_scam01181_manior_______________02p01.wav,Maaz,Rochette,0.06965,-10367.26232,0.9753651614,0.0007716598416,-7.932844555,7749.903019,6814.019777,6500,9200,3962204368,346720510,0.08750697284,0.0001440119835,2407580964063,wider 3 sigma
