File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.085,False,True,,,,
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.06,True,True,0.0546,0.05892,4.32,False
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.065,True,False,0.05866,0.05892,0.25999999999999995,False
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.07,False,True,,,,
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.073,True,True,0.07372,0.07372,0.0,True
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.076,True,True,0.07372,0.07372,0.0,True
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.08,True,False,0.07354,0.07372,0.18000000000000002,False
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,0.085,True,True,0.08398,0.08398,0.0,True
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.06,True,False,0.05231,0.0527,0.39,False
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.065,True,True,0.06138,0.06138,0.0,True
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.07,False,True,,,,
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.073,True,False,0.08017,0.08045,0.27999999999999997,False
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.076,True,False,0.08017,0.08045,0.27999999999999997,False
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.08,True,False,0.08017,0.08045,0.27999999999999997,False
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,0.085,True,False,0.08006,0.08045,0.39,False
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.06,True,True,0.05823,0.0607,2.4699999999999998,False
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.065,True,True,0.05758,0.0607,3.12,False
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.07,False,True,,,,
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.073,False,True,,,,
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.076,False,True,,,,
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.08,True,True,0.07329,0.07329,0.0,True
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,0.085,True,True,0.09092,0.09223,1.31,False
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.06,True,False,0.05647,0.05655,0.08,False
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.065,False,True,,,,
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.07,False,True,,,,
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.073,True,True,0.07143,0.07143,0.0,True
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.076,False,True,,,,
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.08,False,True,,,,
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,0.085,True,True,0.08382,0.08382,0.0,True
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.06,True,False,0.05482,0.05487,0.05,False
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.065,False,True,,,,
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.07,False,True,,,,
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.073,False,True,,,,
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.076,True,False,0.07783,0.0782,0.37,False
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.08,True,False,0.07783,0.0782,0.37,False
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,0.085,True,False,0.07784,0.0782,0.36000000000000004,False
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.06,True,False,0.05983,0.05995,0.12000000000000001,False
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.065,True,False,0.05984,0.05995,0.11,False
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.07,False,True,,,,
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.073,True,True,0.07596,0.0787,2.7399999999999998,False
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.076,True,True,0.07596,0.0787,2.7399999999999998,False
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.08,True,True,0.07596,0.0787,2.7399999999999998,False
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,0.085,True,False,0.0786,0.0787,0.1,False
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.06,True,False,0.05397,0.0544,0.43,False
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.065,False,True,,,,
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.07,False,True,,,,
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.073,False,True,,,,
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.076,False,True,,,,
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.08,False,True,,,,
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,0.085,True,True,0.08173,0.08173,0.0,True
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.06,True,False,0.05358,0.05452,0.94,False
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.065,True,False,0.06642,0.06706,0.64,False
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.07,True,False,0.06644,0.06706,0.62,False
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.073,True,False,0.0663,0.06706,0.76,False
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.076,False,True,,,,
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.08,False,True,,,,
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,0.085,False,True,,,,
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.06,True,True,0.05339,0.05714,3.75,False
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.065,True,False,0.05708,0.05714,0.060000000000000005,False
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.07,False,True,,,,
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.073,True,True,0.06697,0.06697,0.0,True
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.076,True,False,0.07977,0.08008,0.31,False
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.08,True,False,0.07977,0.08008,0.31,False
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,0.085,True,False,0.07964,0.08008,0.44,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.06,True,True,0.05481,0.06081,6.0,False
