Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0517_0712836568_577_ca0_scam01517_mill_prong_517_______01p__2.0.zip,scam_0517_0712836568_577_ca0_scam01517_mill_prong_517_______01p02.fits,scam_0517_0712836568_577_ca0_scam01517_mill_prong_517_______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0520_0713103129_850_ca0_scam05520_hogback_mountain_____01p__2.0.zip,scam_0520_0713103129_850_ca0_scam05520_hogback_mountain_____01p02.fits,scam_0520_0713103129_850_ca0_scam05520_hogback_mountain_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0521_0713193045_560_ca0_scam07521_mill_prong_521_______01p__2.0.zip,scam_0521_0713193045_560_ca0_scam07521_mill_prong_521_______01p02.fits,scam_0521_0713193045_560_ca0_scam07521_mill_prong_521_______01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0523_0713369148_542_ca0_scam01523_patterson_ridge______01p__2.0.zip,scam_0523_0713369148_542_ca0_scam01523_patterson_ridge______01p02.fits,scam_0523_0713369148_542_ca0_scam01523_patterson_ridge______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0531_0714070745_902_ca0_scam02531_hogback_mountain_531_01p__2.0.zip,scam_0531_0714070745_902_ca0_scam02531_hogback_mountain_531_01p02.fits,scam_0531_0714070745_902_ca0_scam02531_hogback_mountain_531_01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0532_0714154700_858_ca0_scam01532_loft_mountain________01p__2.0.zip,scam_0532_0714154700_858_ca0_scam01532_loft_mountain________01p02.fits,scam_0532_0714154700_858_ca0_scam01532_loft_mountain________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0532_0714157416_056_ca0_scam02532_upper_pocosin________01p__2.0.zip,scam_0532_0714157416_056_ca0_scam02532_upper_pocosin________01p02.fits,scam_0532_0714157416_056_ca0_scam02532_upper_pocosin________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0533_0714247728_852_ca0_scam01533_corbin_mountain_533__01p__2.0.zip,scam_0533_0714247728_852_ca0_scam01533_corbin_mountain_533__01p02.fits,scam_0533_0714247728_852_ca0_scam01533_corbin_mountain_533__01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0538_0714691742_619_ca0_scam15011_aegis_0538a__________01p__2.0.zip,scam_0538_0714691742_619_ca0_scam15011_aegis_0538a__________01p02.fits,scam_0538_0714691742_619_ca0_scam15011_aegis_0538a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0544_0715236424_245_ca0_scam15012_aegis_0544a__________01p__2.0.zip,scam_0544_0715236424_245_ca0_scam15012_aegis_0544a__________01p02.fits,scam_0544_0715236424_245_ca0_scam15012_aegis_0544a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0544_0715236424_245_ca0_scam15012_aegis_0544a__________01p__2.0.zip,scam_0544_0715237522_243_ca0_scam15012_aegis_0544b__________01p02.fits,scam_0544_0715237522_243_ca0_scam15012_aegis_0544b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0550_0715772566_733_ca0_scam15011_aegis_0550a__________01p__2.0.zip,scam_0550_0715772566_733_ca0_scam15011_aegis_0550a__________01p02.fits,scam_0550_0715772566_733_ca0_scam15011_aegis_0550a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0554_0716124210_576_ca0_scam02554_barrier_range________01p__2.0.zip,scam_0554_0716124210_576_ca0_scam02554_barrier_range________01p02.fits,scam_0554_0716124210_576_ca0_scam02554_barrier_range________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0556_0716301226_744_ca0_scam04556_alagogshak___________01p__2.0.zip,scam_0556_0716301226_744_ca0_scam04556_alagogshak___________01p02.fits,scam_0556_0716301226_744_ca0_scam04556_alagogshak___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0557_0716380241_716_ca0_scam15011_aegis_0557a__________01p__2.0.zip,scam_0557_0716380241_716_ca0_scam15011_aegis_0557a__________01p02.fits,scam_0557_0716380241_716_ca0_scam15011_aegis_0557a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0558_0716481090_725_ca0_scam01558_chiniak_scam_________01p__2.0.zip,scam_0558_0716481090_725_ca0_scam01558_chiniak_scam_________01p02.fits,scam_0558_0716481090_725_ca0_scam01558_chiniak_scam_________01p02.wav,OK,29,6000,174000,1.74,
